geo_name|st|White Alone|Black Alone|Total White and Black
Tipton County|IN|15551|29|15580
Union County|IN|7331|33|7364
Vanderburgh County|IN|154882|16347|171229
Vermillion County|IN|15932|24|15956
Vigo County|IN|95207|7437|102644
Wabash County|IN|31764|163|31927
Warren County|IN|8363|11|8374
Warrick County|IN|56700|803|57503
Washington County|IN|27714|64|27778
Wayne County|IN|62140|3418|65558
Wells County|IN|26902|96|26998
White County|IN|23132|68|23200
Whitley County|IN|32479|99|32578
Adair County|IA|7558|11|7569
Adams County|IA|3953|8|3961
Allamakee County|IA|13750|113|13863
Appanoose County|IA|12586|63|12649
Audubon County|IA|6032|10|6042
Benton County|IA|25569|102|25671
Black Hawk County|IA|112215|11640|123855
Boone County|IA|25509|206|25715
Bremer County|IA|23601|191|23792
Buchanan County|IA|20505|67|20572
Buena Vista County|IA|16341|540|16881
Butler County|IA|14636|26|14662
Calhoun County|IA|9526|22|9548
Carroll County|IA|20250|83|20333
Cass County|IA|13636|35|13671
Cedar County|IA|18090|52|18142
Cerro Gordo County|IA|41964|578|42542
Cherokee County|IA|11667|66|11733
Chickasaw County|IA|12119|41|12160
Clarke County|IA|8758|39|8797
Clay County|IA|16077|69|16146
Clayton County|IA|17731|61|17792
Clinton County|IA|46152|1291|47443
Crawford County|IA|14168|208|14376
Dallas County|IA|60971|918|61889
Davis County|IA|8614|7|8621
Decatur County|IA|8068|152|8220
Delaware County|IA|17507|48|17555
Des Moines County|IA|36704|2048|38752
Dickinson County|IA|16386|29|16415
Dubuque County|IA|88092|2486|90578
Emmet County|IA|9591|65|9656
Fayette County|IA|20253|198|20451
Floyd County|IA|15620|203|15823
Franklin County|IA|10001|38|10039
Fremont County|IA|7212|39|7251
Greene County|IA|9108|26|9134
Grundy County|IA|12269|28|12297
Guthrie County|IA|10687|16|10703
Hamilton County|IA|14703|50|14753
Hancock County|IA|10957|56|11013
Hardin County|IA|16799|217|17016
Harrison County|IA|14658|25|14683
Henry County|IA|18557|447|19004
Howard County|IA|9380|25|9405
Humboldt County|IA|9418|44|9462
Ida County|IA|6957|17|6974
Iowa County|IA|16002|57|16059
Jackson County|IA|19339|61|19400
Jasper County|IA|35639|470|36109
Jefferson County|IA|14759|214|14973
Johnson County|IA|112083|6305|118388
Jones County|IA|19901|408|20309
Keokuk County|IA|10339|50|10389
Kossuth County|IA|15223|44|15267
Lee County|IA|33537|1118|34655
Linn County|IA|191884|8346|200230
Louisa County|IA|10272|60|10332
Lucas County|IA|8769|17|8786
Lyon County|IA|11340|10|11350
Madison County|IA|15376|46|15422
Mahaska County|IA|21428|254|21682
Marion County|IA|32203|225|32428
Marshall County|IA|36071|679|36750
Mills County|IA|14639|57|14696
Mitchell County|IA|10621|21|10642
Monona County|IA|8972|33|9005
Monroe County|IA|7764|22|7786
Montgomery County|IA|10460|25|10485
Muscatine County|IA|38061|606|38667
O'Brien County|IA|13829|67|13896
Osceola County|IA|6149|18|6167
Page County|IA|15039|352|15391
Palo Alto County|IA|9211|44|9255
Plymouth County|IA|24086|76|24162
Pocahontas County|IA|7126|26|7152
Polk County|IA|364895|25853|390748
Pottawattamie County|IA|86558|1267|87825
Poweshiek County|IA|17957|220|18177
Ringgold County|IA|5004|17|5021
Sac County|IA|10125|31|10156
Scott County|IA|142267|11728|153995
Shelby County|IA|11909|32|11941
Sioux County|IA|31441|129|31570
Story County|IA|79344|2196|81540
Tama County|IA|15373|60|15433
Taylor County|IA|6068|14|6082
Union County|IA|12144|89|12233
Van Buren County|IA|7439|15|7454
Wapello County|IA|32802|482|33284
Warren County|IA|44887|216|45103
Washington County|IA|20796|146|20942
Wayne County|IA|6275|18|6293
Webster County|IA|35095|1462|36557
Winnebago County|IA|10441|85|10526
Winneshiek County|IA|20347|133|20480
Woodbury County|IA|85387|2456|87843
Worth County|IA|7435|27|7462
Wright County|IA|12545|57|12602
Allen County|KS|12478|249|12727
Anderson County|KS|7843|40|7883
Atchison County|KS|15395|853|16248
Barber County|KS|4673|22|4695
Barton County|KS|24567|399|24966
Bourbon County|KS|14115|427|14542
Brown County|KS|8494|123|8617
Butler County|KS|61576|1096|62672
Chase County|KS|2661|34|2695
Chautauqua County|KS|3331|16|3347
Cherokee County|KS|19513|118|19631
Cheyenne County|KS|2664|2|2666
Clark County|KS|2047|1|2048
Clay County|KS|8301|34|8335
Cloud County|KS|9189|51|9240
Coffey County|KS|8298|47|8345
Comanche County|KS|1825|6|1831
Cowley County|KS|31317|1004|32321
Crawford County|KS|35685|785|36470
Decatur County|KS|2883|17|2900
Dickinson County|KS|18780|153|18933
Doniphan County|KS|7396|243|7639
Douglas County|KS|93667|4357|98024
Edwards County|KS|2758|21|2779
Elk County|KS|2742|0|2742
Ellis County|KS|26682|242|26924
Ellsworth County|KS|5991|299|6290
Finney County|KS|28304|841|29145
Ford County|KS|25494|719|26213
Franklin County|KS|24362|329|24691
Geary County|KS|22738|6319|29057
Gove County|KS|2646|8|2654
Graham County|KS|2385|99|2484
Grant County|KS|6368|47|6415
Gray County|KS|5610|26|5636
Greeley County|KS|1143|6|1149
Greenwood County|KS|6394|23|6417
Hamilton County|KS|2134|8|2142
Harper County|KS|5711|22|5733
Harvey County|KS|31693|564|32257
Haskell County|KS|3641|12|3653
Hodgeman County|KS|1806|20|1826
Jackson County|KS|11743|73|11816
Jefferson County|KS|18419|104|18523
Jewell County|KS|2994|5|2999
Johnson County|KS|468052|23636|491688
Kearny County|KS|3472|23|3495
Kingman County|KS|7611|14|7625
Kiowa County|KS|2441|17|2458
Labette County|KS|19024|1008|20032
Lane County|KS|1666|8|1674
Leavenworth County|KS|63879|7171|71050
Lincoln County|KS|3158|9|3167
Linn County|KS|9307|43|9350
Logan County|KS|2647|21|2668
Lyon County|KS|28140|819|28959
McPherson County|KS|27763|294|28057
Marion County|KS|12154|104|12258
Marshall County|KS|9849|27|9876
Meade County|KS|4242|31|4273
Miami County|KS|31225|426|31651
Mitchell County|KS|6244|13|6257
Montgomery County|KS|29561|2059|31620
Morris County|KS|5687|25|5712
Morton County|KS|2841|14|2855
Nemaha County|KS|9902|57|9959
Neosho County|KS|15542|197|15739
Ness County|KS|2969|18|2987
Norton County|KS|5358|165|5523
Osage County|KS|15796|48|15844
Osborne County|KS|3765|8|3773
Ottawa County|KS|5889|49|5938
Pawnee County|KS|6322|325|6647
Phillips County|KS|5472|23|5495
Pottawatomie County|KS|20212|227|20439
Pratt County|KS|9083|114|9197
Rawlins County|KS|2449|8|2457
Reno County|KS|58469|1930|60399
Republic County|KS|4879|25|4904
Rice County|KS|9213|128|9341
Riley County|KS|59203|4530|63733
Rooks County|KS|5049|24|5073
Rush County|KS|3213|8|3221
Russell County|KS|6712|54|6766
Saline County|KS|48695|1814|50509
Scott County|KS|4447|19|4466
Sedgwick County|KS|380482|46167|426649
Seward County|KS|16171|774|16945
Shawnee County|KS|144412|15280|159692
Sheridan County|KS|2475|3|2478
Sherman County|KS|5596|39|5635
Smith County|KS|3733|10|3743
Stafford County|KS|4110|13|4123
Stanton County|KS|1870|13|1883
Stevens County|KS|4985|16|5001
Sumner County|KS|22705|230|22935
Thomas County|KS|7509|49|7558
Trego County|KS|2919|13|2932
Wabaunsee County|KS|6808|29|6837
Wallace County|KS|1395|2|1397
Washington County|KS|5632|25|5657
Wichita County|KS|1972|19|1991
Wilson County|KS|8995|31|9026
Woodson County|KS|3161|12|3173
Wyandotte County|KS|86056|39742|125798
Adair County|KY|17696|503|18199
Allen County|KY|19362|164|19526
Anderson County|KY|20458|433|20891
Ballard County|KY|7808|238|8046
Barren County|KY|38997|1630|40627
Bath County|KY|11175|152|11327
Bell County|KY|27415|644|28059
Boone County|KY|109050|2992|112042
Bourbon County|KY|17604|1198|18802
Boyd County|KY|46901|1401|48302
Boyle County|KY|25086|2121|27207
Bracken County|KY|8300|29|8329
Breathitt County|KY|13637|43|13680
Breckinridge County|KY|19206|409|19615
Bullitt County|KY|71969|484|72453
Butler County|KY|12303|48|12351
Caldwell County|KY|12044|668|12712
Calloway County|KY|34208|1392|35600
Campbell County|KY|85215|2290|87505
Carlisle County|KY|4961|39|5000
Carroll County|KY|9955|163|10118
Carter County|KY|27101|147|27248
Casey County|KY|15505|85|15590
Christian County|KY|52896|15707|68603
Clark County|KY|32833|1708|34541
Clay County|KY|20464|915|21379
Clinton County|KY|9938|39|9977
Crittenden County|KY|9105|76|9181
Cumberland County|KY|6540|178|6718
Daviess County|KY|88134|4626|92760
Edmonson County|KY|11789|169|11958
Elliott County|KY|7506|268|7774
Estill County|KY|14457|29|14486
Fayette County|KY|223999|42972|266971
Fleming County|KY|13920|183|14103
Floyd County|KY|38732|294|39026
Franklin County|KY|41614|5128|46742
Fulton County|KY|5004|1609|6613
Gallatin County|KY|8132|113|8245
Garrard County|KY|16118|346|16464
Grant County|KY|23842|178|24020
Graves County|KY|33568|1607|35175
Grayson County|KY|25052|264|25316
Green County|KY|10775|224|10999
Greenup County|KY|35928|257|36185
Hancock County|KY|8331|75|8406
Hardin County|KY|84971|12275|97246
Harlan County|KY|28144|643|28787
Harrison County|KY|18037|385|18422
Hart County|KY|16906|885|17791
Henderson County|KY|41217|3590|44807
Henry County|KY|14452|419|14871
Hickman County|KY|4332|452|4784
Hopkins County|KY|42289|3086|45375
Jackson County|KY|13348|16|13364
Jefferson County|KY|538714|154246|692960
Jessamine County|KY|45147|1499|46646
Johnson County|KY|22976|56|23032
Kenton County|KY|145394|7359|152753
Knott County|KY|16067|118|16185
Knox County|KY|30967|346|31313
Larue County|KY|13329|444|13773
Laurel County|KY|57112|417|57529
Lawrence County|KY|15621|33|15654
Lee County|KY|7607|185|7792
Leslie County|KY|11179|22|11201
Letcher County|KY|24215|85|24300
Lewis County|KY|13711|37|13748
Lincoln County|KY|23555|565|24120
Livingston County|KY|9318|21|9339
Logan County|KY|24187|1767|25954
Lyon County|KY|7729|441|8170
McCracken County|KY|55762|7224|62986
McCreary County|KY|16724|1009|17733
McLean County|KY|9302|55|9357
Madison County|KY|75926|3611|79537
Magoffin County|KY|13149|18|13167
Marion County|KY|17454|1604|19058
Marshall County|KY|30900|49|30949
Martin County|KY|11889|896|12785
Mason County|KY|15801|1120|16921
Meade County|KY|26427|948|27375
Menifee County|KY|6088|116|6204
Mercer County|KY|19789|765|20554
Metcalfe County|KY|9774|154|9928
Monroe County|KY|10431|231|10662
Montgomery County|KY|25031|731|25762
Morgan County|KY|13124|600|13724
Muhlenberg County|KY|29514|1426|30940
Nelson County|KY|39932|2183|42115
Nicholas County|KY|6983|41|7024
Ohio County|KY|22944|196|23140
Oldham County|KY|54904|2620|57524
Owen County|KY|10470|91|10561
Owsley County|KY|4692|13|4705
Pendleton County|KY|14603|53|14656
Perry County|KY|27706|435|28141
Pike County|KY|63718|349|64067
Powell County|KY|12321|79|12400
Pulaski County|KY|60625|727|61352
Robertson County|KY|2241|4|2245
Rockcastle County|KY|16783|19|16802
Rowan County|KY|22420|349|22769
Russell County|KY|16943|82|17025
Scott County|KY|42405|2468|44873
Shelby County|KY|35943|3146|39089
Simpson County|KY|15118|1625|16743
Spencer County|KY|16419|258|16677
Taylor County|KY|22539|1216|23755
Todd County|KY|11093|996|12089
Trigg County|KY|12781|1171|13952
Trimble County|KY|8492|27|8519
Union County|KY|12824|1808|14632
Warren County|KY|95167|10311|105478
Washington County|KY|10643|742|11385
Wayne County|KY|19805|316|20121
Webster County|KY|12449|563|13012
Whitley County|KY|34704|205|34909
Wolfe County|KY|7265|10|7275
Woodford County|KY|22363|1230|23593
Acadia Parish|LA|49127|11175|60302
Allen Parish|LA|18435|5985|24420
Ascension Parish|LA|78572|23846|102418
Assumption Parish|LA|15635|7141|22776
Avoyelles Parish|LA|28188|12398|40586
Beauregard Parish|LA|29321|4655|33976
Bienville Parish|LA|7935|6076|14011
Bossier Parish|LA|84430|24461|108891
Caddo Parish|LA|124942|120264|245206
Calcasieu Parish|LA|136514|47782|184296
Caldwell Parish|LA|8213|1746|9959
Cameron Parish|LA|6546|119|6665
Catahoula Parish|LA|6985|3280|10265
Claiborne Parish|LA|8167|8733|16900
Concordia Parish|LA|11959|8513|20472
De Soto Parish|LA|15456|10449|25905
East Baton Rouge Parish|LA|214927|199505|414432
East Carroll Parish|LA|2245|5356|7601
East Feliciana Parish|LA|10783|9108|19891
Evangeline Parish|LA|23439|9632|33071
Franklin Parish|LA|13930|6537|20467
Grant Parish|LA|18149|3470|21619
Iberia Parish|LA|45551|23435|68986
Iberville Parish|LA|16280|16454|32734
Jackson Parish|LA|11084|4853|15937
Jefferson Parish|LA|272115|113887|386002
Jefferson Davis Parish|LA|25125|5468|30593
Lafayette Parish|LA|153706|57073|210779
Lafourche Parish|LA|76445|12746|89191
La Salle Parish|LA|12689|1769|14458
Lincoln Parish|LA|25775|18925|44700
Livingston Parish|LA|117601|6505|124106
Madison Parish|LA|4498|7381|11879
Morehouse Parish|LA|14345|13133|27478
Natchitoches Parish|LA|21494|16362|37856
Orleans Parish|LA|113428|206871|320299
Ouachita Parish|LA|92884|56216|149100
Plaquemines Parish|LA|16246|4715|20961
Pointe Coupee Parish|LA|14010|8284|22294
Rapides Parish|LA|83373|42113|125486
Red River Parish|LA|5360|3595|8955
Richland Parish|LA|12879|7454|20333
Sabine Parish|LA|17155|4026|21181
St. Bernard Parish|LA|26579|6350|32929
St. Charles Parish|LA|36540|14051|50591
St. Helena Parish|LA|5034|5974|11008
St. James Parish|LA|10615|11180|21795
St. John the Baptist Parish|LA|19501|24576|44077
St. Landry Parish|LA|46615|34442|81057
St. Martin Parish|LA|34313|16039|50352
St. Mary Parish|LA|32406|17765|50171
St. Tammany Parish|LA|195364|26645|222009
Tangipahoa Parish|LA|80206|36654|116860
Tensas Parish|LA|2202|2967|5169
Terrebonne Parish|LA|78591|21139|99730
Union Parish|LA|15682|6182|21864
Vermilion Parish|LA|46922|8286|55208
Vernon Parish|LA|39614|7443|47057
Washington Parish|LA|31482|14625|46107
Webster Parish|LA|26469|13823|40292
West Baton Rouge Parish|LA|14271|8972|23243
West Carroll Parish|LA|9497|1822|11319
West Feliciana Parish|LA|8125|7263|15388
Winn Parish|LA|10223|4702|14925
Androscoggin County|ME|99939|3931|103870
Aroostook County|ME|68759|455|69214
Cumberland County|ME|261396|6781|268177
Franklin County|ME|29952|71|30023
Hancock County|ME|52741|221|52962
Kennebec County|ME|117501|687|118188
Knox County|ME|38579|197|38776
Lincoln County|ME|33636|109|33745
Oxford County|ME|55990|212|56202
Penobscot County|ME|146802|1159|147961
Piscataquis County|ME|17000|53|17053
Sagadahoc County|ME|33969|254|34223
Somerset County|ME|50733|192|50925
Waldo County|ME|37673|137|37810
Washington County|ME|30257|140|30397
York County|ME|190044|1108|191152
Allegany County|MD|66981|6028|73009
Anne Arundel County|MD|405456|83484|488940
Baltimore County|MD|520185|209738|729923
Calvert County|MD|72231|11930|84161
Caroline County|MD|26396|4585|30981
Carroll County|MD|155282|5332|160614
Cecil County|MD|90189|6284|96473
Charles County|MD|73677|60031|133708
Dorchester County|MD|22065|9042|31107
Frederick County|MD|190306|20148|210454
Garrett County|MD|29440|301|29741
Harford County|MD|198763|31058|229821
Howard County|MD|178523|50188|228711
Kent County|MD|16169|3056|19225
Montgomery County|MD|558358|167315|725673
Prince George's County|MD|166059|556620|722679
Queen Anne's County|MD|42397|3298|45695
St. Mary's County|MD|82636|15030|97666
Somerset County|MD|14170|11192|25362
Talbot County|MD|30746|4829|35575
Washington County|MD|125447|14133|139580
Wicomico County|MD|67784|23873|91657
Worcester County|MD|42194|7022|49216
Baltimore city|MD|183830|395781|579611
Barnstable County|MA|200194|4062|204256
Berkshire County|MA|121384|3572|124956
Bristol County|MA|484794|17832|502626
Dukes County|MA|14492|511|15003
Essex County|MA|608369|27985|636354
Franklin County|MA|67239|796|68035
Hampden County|MA|354580|41644|396224
Hampshire County|MA|140250|3925|144175
Middlesex County|MA|1202411|70021|1272432
Nantucket County|MA|8913|688|9601
Norfolk County|MA|551847|38148|589995
Plymouth County|MA|423133|35608|458741
Suffolk County|MA|404269|156292|560561
Worcester County|MA|683361|33314|716675
Alcona County|MI|10712|13|10725
Alger County|MI|8286|612|8898
Allegan County|MI|103513|1358|104871
Alpena County|MI|28845|79|28924
Antrim County|MI|22815|41|22856
Arenac County|MI|15393|29|15422
Baraga County|MI|6641|635|7276
Barry County|MI|57350|219|57569
Bay County|MI|101451|1702|103153
Benzie County|MI|16843|72|16915
Berrien County|MI|122804|24037|146841
Branch County|MI|42055|1393|43448
Calhoun County|MI|111915|14872|126787
Cass County|MI|46496|2821|49317
Charlevoix County|MI|24806|80|24886
Cheboygan County|MI|24459|133|24592
Chippewa County|MI|27837|2509|30346
Clare County|MI|29951|149|30100
Clinton County|MI|70018|1549|71567
Crawford County|MI|13721|51|13772
Delta County|MI|35118|75|35193
Dickinson County|MI|25438|87|25525
Eaton County|MI|94561|6811|101372
Emmet County|MI|30375|156|30531
Genesee County|MI|317393|88127|405520
Gladwin County|MI|25111|60|25171
Gogebic County|MI|15059|678|15737
Grand Traverse County|MI|82334|1033|83367
Gratiot County|MI|38487|2354|40841
Hillsdale County|MI|45304|220|45524
Houghton County|MI|34596|198|34794
Huron County|MI|32286|122|32408
Ingham County|MI|213913|33047|246960
Ionia County|MI|58563|3019|61582
Iosco County|MI|24965|122|25087
Iron County|MI|11469|14|11483
Isabella County|MI|62697|1676|64373
Jackson County|MI|140507|12739|153246
Kalamazoo County|MI|204644|27266|231910
Kalkaska County|MI|16602|50|16652
Kent County|MI|481594|58648|540242
Keweenaw County|MI|2123|3|2126
Lake County|MI|10035|1058|11093
Lapeer County|MI|84351|922|85273
Leelanau County|MI|20207|66|20273
Lenawee County|MI|92174|2539|94713
Livingston County|MI|175015|809|175824
Luce County|MI|5331|737|6068
Mackinac County|MI|8499|57|8556
Macomb County|MI|717973|72723|790696
Manistee County|MI|22811|723|23534
Marquette County|MI|62911|1141|64052
Mason County|MI|27225|172|27397
Mecosta County|MI|40095|1077|41172
Menominee County|MI|22891|72|22963
Midland County|MI|79063|1013|80076
Missaukee County|MI|14419|43|14462
Monroe County|MI|143476|3237|146713
Montcalm County|MI|59752|1483|61235
Montmorency County|MI|9532|15|9547
Muskegon County|MI|137679|24882|162561
Newaygo County|MI|45625|495|46120
Oakland County|MI|928912|164078|1092990
Oceana County|MI|23952|119|24071
Ogemaw County|MI|21076|39|21115
Ontonagon County|MI|6594|6|6600
Osceola County|MI|22791|133|22924
Oscoda County|MI|8437|14|8451
Otsego County|MI|23413|80|23493
Ottawa County|MI|237638|3874|241512
Presque Isle County|MI|13050|56|13106
Roscommon County|MI|23791|91|23882
Saginaw County|MI|149272|38114|187386
St. Clair County|MI|153052|3976|157028
St. Joseph County|MI|55519|1600|57119
Sanilac County|MI|41649|150|41799
Schoolcraft County|MI|7432|11|7443
Shiawassee County|MI|68315|325|68640
Tuscola County|MI|53578|634|54212
Van Buren County|MI|66129|3100|69229
Washtenaw County|MI|256880|43767|300647
Wayne County|MI|951936|737943|1689879
Wexford County|MI|31590|129|31719
Aitkin County|MN|15494|57|15551
Anoka County|MN|287802|14503|302305
Becker County|MN|28720|138|28858
Beltrami County|MN|33359|262|33621
Benton County|MN|36348|749|37097
Big Stone County|MN|5175|11|5186
Blue Earth County|MN|59400|1741|61141
Brown County|MN|25245|61|25306
Carlton County|MN|31727|498|32225
Carver County|MN|84450|1124|85574
Cass County|MN|24534|61|24595
Chippewa County|MN|11632|65|11697
Chisago County|MN|51621|645|52266
Clay County|MN|54684|842|55526
Clearwater County|MN|7579|30|7609
Cook County|MN|4559|17|4576
Cottonwood County|MN|10773|87|10860
Crow Wing County|MN|60368|313|60681
Dakota County|MN|339499|18709|358208
Dodge County|MN|19294|60|19354
Douglas County|MN|35186|150|35336
Faribault County|MN|14042|47|14089
Fillmore County|MN|20497|49|20546
Freeborn County|MN|29121|231|29352
Goodhue County|MN|43684|445|44129
Grant County|MN|5864|19|5883
Hennepin County|MN|856834|136262|993096
Houston County|MN|18570|101|18671
Hubbard County|MN|19314|48|19362
Isanti County|MN|36319|245|36564
Itasca County|MN|42195|144|42339
Jackson County|MN|9830|47|9877
Kanabec County|MN|15754|55|15809
Kandiyohi County|MN|39206|984|40190
Kittson County|MN|4484|11|4495
Koochiching County|MN|12593|78|12671
Lac qui Parle County|MN|7087|17|7104
Lake County|MN|10616|16|10632
Lake of the Woods County|MN|3874|14|3888
Le Sueur County|MN|26443|94|26537
Lincoln County|MN|5777|8|5785
Lyon County|MN|23360|587|23947
McLeod County|MN|35159|199|35358
Mahnomen County|MN|2713|11|2724
Marshall County|MN|9119|26|9145
Martin County|MN|20142|64|20206
Meeker County|MN|22663|77|22740
Mille Lacs County|MN|23778|97|23875
Morrison County|MN|32426|131|32557
Mower County|MN|35495|818|36313
Murray County|MN|8435|25|8460
Nicollet County|MN|30666|667|31333
Nobles County|MN|16206|743|16949
Norman County|MN|6455|13|6468
Olmsted County|MN|123605|6870|130475
Otter Tail County|MN|55080|430|55510
Pennington County|MN|13067|192|13259
Pine County|MN|27347|597|27944
Pipestone County|MN|8975|56|9031
Polk County|MN|29495|270|29765
Pope County|MN|10766|38|10804
Ramsey County|MN|356547|56170|412717
Red Lake County|MN|3934|8|3942
Redwood County|MN|14305|75|14380
Renville County|MN|15014|44|15058
Rice County|MN|57275|2072|59347
Rock County|MN|9365|59|9424
Roseau County|MN|14767|39|14806
St. Louis County|MN|186212|2739|188951
Scott County|MN|112212|3376|115588
Sherburne County|MN|83211|1689|84900
Sibley County|MN|14430|48|14478
Stearns County|MN|138262|4658|142920
Steele County|MN|34038|1013|35051
Stevens County|MN|9110|76|9186
Swift County|MN|9453|49|9502
Todd County|MN|23727|94|23821
Traverse County|MN|3352|13|3365
Wabasha County|MN|21000|80|21080
Wadena County|MN|13380|111|13491
Waseca County|MN|17933|380|18313
Washington County|MN|209012|8579|217591
Watonwan County|MN|9740|82|9822
Wilkin County|MN|6381|15|6396
Winona County|MN|48573|650|49223
Wright County|MN|118518|1328|119846
Yellow Medicine County|MN|9806|16|9822
Adams County|MS|13793|17287|31080
Alcorn County|MS|31656|4221|35877
Amite County|MS|7574|5427|13001
Attala County|MS|11000|8208|19208
Benton County|MS|5284|3252|8536
Bolivar County|MS|11446|21920|33366
Calhoun County|MS|10096|4149|14245
Carroll County|MS|6956|3461|10417
Chickasaw County|MS|9386|7319|16705
Choctaw County|MS|5846|2574|8420
Claiborne County|MS|1367|8104|9471
Clarke County|MS|10741|5759|16500
Clay County|MS|8350|12017|20367
Coahoma County|MS|5989|19752|25741
Copiah County|MS|13627|14983|28610
Covington County|MS|12319|6825|19144
DeSoto County|MS|116440|35266|151706
Forrest County|MS|44726|27082|71808
Franklin County|MS|5257|2791|8048
George County|MS|20266|1829|22095
Greene County|MS|10441|3749|14190
Grenada County|MS|12465|9140|21605
Hancock County|MS|38842|3138|41980
Harrison County|MS|130366|41393|171759
Hinds County|MS|69769|169370|239139
Holmes County|MS|3001|16018|19019
Humphreys County|MS|2203|6987|9190
Issaquena County|MS|486|906|1392
Itawamba County|MS|21623|1391|23014
Jackson County|MS|100735|30034|130769
Jasper County|MS|7894|8970|16864
Jefferson County|MS|1060|6620|7680
Jefferson Davis County|MS|4834|7477|12311
Jones County|MS|45531|19153|64684
Kemper County|MS|3689|6288|9977
Lafayette County|MS|33976|11201|45177
Lamar County|MS|43011|10883|53894
Lauderdale County|MS|43957|34330|78287
Lawrence County|MS|8624|3974|12598
Leake County|MS|11793|9654|21447
Lee County|MS|57497|22619|80116
Leflore County|MS|8038|23342|31380
Lincoln County|MS|23864|10443|34307
Lowndes County|MS|32259|25993|58252
Madison County|MS|54270|36368|90638
Marion County|MS|17822|8752|26574
Marshall County|MS|18614|17439|36053
Monroe County|MS|25035|11420|36455
Montgomery County|MS|5790|4967|10757
Neshoba County|MS|17974|6207|24181
Newton County|MS|13734|6567|20301
Noxubee County|MS|3133|8262|11395
Oktibbeha County|MS|28224|17431|45655
Panola County|MS|17161|16875|34036
Pearl River County|MS|46924|6872|53796
Perry County|MS|9575|2451|12026
Pike County|MS|18745|20813|39558
Pontotoc County|MS|23984|4131|28115
Prentiss County|MS|21312|3488|24800
Quitman County|MS|2381|5724|8105
Rankin County|MS|109523|26634|136157
Scott County|MS|15051|10585|25636
Sharkey County|MS|1370|3490|4860
Simpson County|MS|17260|9666|26926
Smith County|MS|12503|3776|16279
Stone County|MS|13982|3404|17386
Sunflower County|MS|7493|21479|28972
Tallahatchie County|MS|5988|8679|14667
Tate County|MS|19313|8755|28068
Tippah County|MS|17779|3544|21323
Tishomingo County|MS|18509|519|19028
Tunica County|MS|2553|7918|10471
Union County|MS|21973|3935|25908
Walthall County|MS|8250|6873|15123
Warren County|MS|24548|22920|47468
Washington County|MS|13784|36468|50252
Wayne County|MS|12300|8071|20371
Webster County|MS|8065|2040|10105
Wilkinson County|MS|2834|6992|9826
Winston County|MS|9972|8753|18725
Yalobusha County|MS|7667|4805|12472
Yazoo County|MS|11212|16013|27225
Adair County|MO|24066|408|24474
Andrew County|MO|16843|72|16915
Atchison County|MO|5600|17|5617
Audrain County|MO|22931|1646|24577
Barry County|MO|32792|107|32899
Barton County|MO|11788|47|11835
Bates County|MO|16464|150|16614
Benton County|MO|18508|58|18566
Bollinger County|MO|12106|32|12138
Boone County|MO|134621|15111|149732
Buchanan County|MO|79443|4662|84105
Butler County|MO|38860|2256|41116
Caldwell County|MO|9091|40|9131
Callaway County|MO|40778|2032|42810
Camden County|MO|42468|179|42647
Cape Girardeau County|MO|67137|5330|72467
Carroll County|MO|8981|154|9135
Carter County|MO|6053|7|6060
Cass County|MO|91261|3517|94778
Cedar County|MO|13544|14|13558
Chariton County|MO|7571|156|7727
Christian County|MO|74122|449|74571
Clark County|MO|7011|19|7030
Clay County|MO|194100|11506|205606
Clinton County|MO|19802|290|20092
Cole County|MO|64137|8512|72649
Cooper County|MO|15914|1207|17121
Crawford County|MO|24020|67|24087
Dade County|MO|7570|30|7600
Dallas County|MO|16182|35|16217
Daviess County|MO|8266|23|8289
DeKalb County|MO|11205|1459|12664
Dent County|MO|15129|55|15184
Douglas County|MO|13284|30|13314
Dunklin County|MO|27179|3105|30284
Franklin County|MO|98241|854|99095
Gasconade County|MO|14903|27|14930
Gentry County|MO|6629|21|6650
Greene County|MO|250866|7892|258758
Grundy County|MO|9947|59|10006
Harrison County|MO|8738|30|8768
Henry County|MO|21473|226|21699
Hickory County|MO|9338|25|9363
Holt County|MO|4801|8|4809
Howard County|MO|9310|532|9842
Howell County|MO|38903|156|39059
Iron County|MO|10250|138|10388
Jackson County|MO|451073|161367|612440
Jasper County|MO|103596|2267|105863
Jefferson County|MO|211007|1798|212805
Johnson County|MO|47344|2279|49623
Knox County|MO|4047|14|4061
Laclede County|MO|34051|241|34292
Lafayette County|MO|31422|742|32164
Lawrence County|MO|36179|102|36281
Lewis County|MO|9635|323|9958
Lincoln County|MO|49938|984|50922
Linn County|MO|12401|86|12487
Livingston County|MO|14494|367|14861
McDonald County|MO|19619|133|19752
Macon County|MO|14816|353|15169
Madison County|MO|11873|34|11907
Maries County|MO|8964|24|8988
Marion County|MO|26421|1417|27838
Mercer County|MO|3700|6|3706
Miller County|MO|23941|99|24040
Mississippi County|MO|10633|3440|14073
Moniteau County|MO|14426|581|15007
Monroe County|MO|8403|264|8667
Montgomery County|MO|11713|201|11914
Morgan County|MO|19770|131|19901
New Madrid County|MO|15491|2999|18490
Newton County|MO|51914|438|52352
Nodaway County|MO|22083|566|22649
Oregon County|MO|10511|15|10526
Osage County|MO|13718|28|13746
Ozark County|MO|9468|11|9479
Pemiscot County|MO|12882|4899|17781
Perry County|MO|18442|75|18517
Pettis County|MO|37839|1264|39103
