geo_name|st|White Alone|Black Alone|Total White and Black
Pulaski County|AR|220051|133858|353909
Randolph County|AR|17339|128|17467
St. Francis County|AR|12502|14667|27169
Saline County|AR|96978|4994|101972
Scott County|AR|9880|53|9933
Searcy County|AR|7867|12|7879
Sebastian County|AR|96344|8019|104363
Sevier County|AR|11949|734|12683
Sharp County|AR|16582|93|16675
Stone County|AR|11995|11|12006
Union County|AR|26276|13721|39997
Van Buren County|AR|16598|68|16666
Washington County|AR|162253|6006|168259
White County|AR|70425|3074|73499
Woodruff County|AR|5075|1994|7069
Yell County|AR|19226|307|19533
Alameda County|CA|649122|190451|839573
Alpine County|CA|881|0|881
Amador County|CA|33149|962|34111
Butte County|CA|180096|3415|183511
Calaveras County|CA|40522|383|40905
Colusa County|CA|13854|195|14049
Contra Costa County|CA|614512|97161|711673
Del Norte County|CA|21098|993|22091
El Dorado County|CA|156793|1409|158202
Fresno County|CA|515145|49523|564668
Glenn County|CA|19990|231|20221
Humboldt County|CA|109920|1505|111425
Imperial County|CA|102553|5773|108326
Inyo County|CA|13741|109|13850
Kern County|CA|499766|48921|548687
Kings County|CA|83027|11014|94041
Lake County|CA|52033|1232|53265
Lassen County|CA|25532|2834|28366
Los Angeles County|CA|4936599|856874|5793473
Madera County|CA|94456|5629|100085
Marin County|CA|201963|6987|208950
Mariposa County|CA|16103|138|16241
Mendocino County|CA|67218|622|67840
Merced County|CA|148381|9926|158307
Modoc County|CA|8084|82|8166
Mono County|CA|11697|47|11744
Monterey County|CA|230717|12785|243502
Napa County|CA|97525|2668|100193
Nevada County|CA|90233|389|90622
Orange County|CA|1830758|50744|1881502
Placer County|CA|290977|4751|295728
Plumas County|CA|17797|192|17989
Riverside County|CA|1335147|140543|1475690
Sacramento County|CA|815151|147058|962209
San Benito County|CA|35181|483|35664
San Bernardino County|CA|1153161|181862|1335023
San Diego County|CA|1981442|158213|2139655
San Francisco County|CA|390387|48870|439257
San Joaquin County|CA|349287|51744|401031
San Luis Obispo County|CA|222756|5550|228306
San Mateo County|CA|383535|20436|403971
Santa Barbara County|CA|295124|8513|303637
Santa Clara County|CA|836616|46428|883044
Santa Cruz County|CA|190208|2766|192974
Shasta County|CA|153726|1548|155274
Sierra County|CA|3022|6|3028
Siskiyou County|CA|38030|571|38601
Solano County|CA|210751|60750|271501
Sonoma County|CA|371412|7610|379022
Stanislaus County|CA|337342|14721|352063
Sutter County|CA|57749|1919|59668
Tehama County|CA|51721|406|52127
Trinity County|CA|12033|59|12092
Tulare County|CA|265618|7196|272814
Tuolumne County|CA|48274|1143|49417
Ventura County|CA|565804|15163|580967
Yolo County|CA|126883|5208|132091
Yuba County|CA|49332|2361|51693
Adams County|CO|323795|13539|337334
Alamosa County|CO|11549|172|11721
Arapahoe County|CO|415910|58107|474017
Archuleta County|CO|10436|37|10473
Baca County|CO|3506|24|3530
Bent County|CO|5149|496|5645
Boulder County|CO|256889|2532|259421
Broomfield County|CO|48099|587|48686
Chaffee County|CO|16598|275|16873
Cheyenne County|CO|1711|7|1718
Clear Creek County|CO|8664|56|8720
Conejos County|CO|6293|27|6320
Costilla County|CO|2397|24|2421
Crowley County|CO|4509|559|5068
Custer County|CO|4055|44|4099
Delta County|CO|27761|160|27921
Denver County|CO|413696|61435|475131
Dolores County|CO|1920|4|1924
Douglas County|CO|257598|3476|261074
Eagle County|CO|43402|359|43761
Elbert County|CO|21861|164|22025
El Paso County|CO|496258|38492|534750
Fremont County|CO|42225|1843|44068
Garfield County|CO|46367|385|46752
Gilpin County|CO|5157|28|5185
Grand County|CO|13877|57|13934
Gunnison County|CO|14152|48|14200
Hinsdale County|CO|802|3|805
Huerfano County|CO|5560|35|5595
Jackson County|CO|1290|0|1290
Jefferson County|CO|472694|5667|478361
Kiowa County|CO|1346|4|1350
Kit Carson County|CO|7316|225|7541
Lake County|CO|5898|27|5925
La Plata County|CO|44546|204|44750
Larimer County|CO|271267|2500|273767
Las Animas County|CO|12967|218|13185
Lincoln County|CO|4868|290|5158
Logan County|CO|20213|900|21113
Mesa County|CO|131181|935|132116
Mineral County|CO|693|2|695
Moffat County|CO|12422|42|12464
Montezuma County|CO|20704|58|20762
Montrose County|CO|35804|162|35966
Morgan County|CO|22360|808|23168
Otero County|CO|14788|143|14931
Ouray County|CO|4277|7|4284
Park County|CO|15352|69|15421
Phillips County|CO|3961|18|3979
Pitkin County|CO|16028|93|16121
Prowers County|CO|10165|64|10229
Pueblo County|CO|126229|3222|129451
Rio Blanco County|CO|6123|50|6173
Rio Grande County|CO|9379|43|9422
Routt County|CO|22279|99|22378
Saguache County|CO|5024|14|5038
San Juan County|CO|647|0|647
San Miguel County|CO|6837|29|6866
Sedgwick County|CO|2194|8|2202
Summit County|CO|25103|230|25333
Teller County|CO|22008|110|22118
Washington County|CO|4588|30|4618
Weld County|CO|209594|2473|212067
Yuma County|CO|8861|18|8879
Fairfield County|CT|685900|99317|785217
Hartford County|CT|647237|119191|766428
Litchfield County|CT|178268|2558|180826
Middlesex County|CT|147823|7727|155550
New Haven County|CT|644744|109850|754594
New London County|CT|225213|16025|241238
Tolland County|CT|137125|5011|142136
Windham County|CT|106100|2617|108717
Kent County|DE|109999|38913|148912
New Castle County|DE|352955|127786|480741
Sussex County|DE|155663|25115|180778
District of Columbia|DC|231471|305125|536596
Alachua County|FL|172156|50282|222438
Baker County|FL|22686|3680|26366
Bay County|FL|138731|18180|156911
Bradford County|FL|21801|5823|27624
Brevard County|FL|450927|54799|505726
Broward County|FL|1102231|467519|1569750
Calhoun County|FL|11818|2011|13829
Charlotte County|FL|144059|9089|153148
Citrus County|FL|131350|3987|135337
Clay County|FL|156087|18831|174918
Collier County|FL|269596|21087|290683
Columbia County|FL|52611|11818|64429
DeSoto County|FL|23094|4431|27525
Dixie County|FL|14584|1386|15970
Duval County|FL|526044|255018|781062
Escambia County|FL|204993|68282|273275
Flagler County|FL|78710|10884|89594
Franklin County|FL|9540|1589|11129
Gadsden County|FL|16646|25996|42642
Gilchrist County|FL|15396|897|16293
Glades County|FL|9153|1588|10741
Gulf County|FL|12384|2962|15346
Hamilton County|FL|8851|5102|13953
Hardee County|FL|20013|1936|21949
Hendry County|FL|23436|5261|28697
Hernando County|FL|154598|8816|163414
Highlands County|FL|79972|9263|89235
Hillsborough County|FL|876137|205073|1081210
Holmes County|FL|18043|1147|19190
Indian River County|FL|116346|12397|128743
Jackson County|FL|34373|13231|47604
Jefferson County|FL|8912|5340|14252
Lafayette County|FL|6868|1411|8279
Lake County|FL|243624|29103|272727
Lee County|FL|513496|51069|564565
Leon County|FL|173480|83520|257000
Levy County|FL|34876|3832|38708
Liberty County|FL|6462|1497|7959
Madison County|FL|11070|7460|18530
Manatee County|FL|264322|28230|292552
Marion County|FL|268284|40828|309112
Martin County|FL|127691|7842|135533
Miami-Dade County|FL|1841887|472976|2314863
Monroe County|FL|65409|4194|69603
Nassau County|FL|65809|4668|70477
Okaloosa County|FL|146582|16797|163379
Okeechobee County|FL|31009|3203|34212
Orange County|FL|728795|238241|967036
Osceola County|FL|190641|30369|221010
Palm Beach County|FL|970121|228690|1198811
Pasco County|FL|409784|20700|430484
Pinellas County|FL|752892|94745|847637
Polk County|FL|452854|88833|541687
Putnam County|FL|57468|12030|69498
St. Johns County|FL|169794|10684|180478
St. Lucie County|FL|199336|53036|252372
Santa Rosa County|FL|132920|8205|141125
Sarasota County|FL|342090|17815|359905
Seminole County|FL|330664|47107|377771
Sumter County|FL|80893|9022|89915
Suwannee County|FL|34299|4754|39053
Taylor County|FL|16964|4669|21633
Union County|FL|11655|3449|15104
Volusia County|FL|408256|51791|460047
Wakulla County|FL|25224|4464|29688
Walton County|FL|48351|3178|51529
Washington County|FL|20014|3745|23759
Appling County|GA|13385|3392|16777
Atkinson County|GA|5213|1453|6666
Bacon County|GA|8725|1704|10429
Baker County|GA|1675|1613|3288
Baldwin County|GA|25121|18965|44086
Banks County|GA|16877|427|17304
Barrow County|GA|54665|7889|62554
Bartow County|GA|82862|10178|93040
Ben Hill County|GA|10446|6104|16550
Berrien County|GA|16327|2063|18390
Bibb County|GA|67199|81116|148315
Bleckley County|GA|9151|3564|12715
Brantley County|GA|17380|538|17918
Brooks County|GA|9722|5729|15451
Bryan County|GA|24254|4286|28540
Bulloch County|GA|47215|19409|66624
Burke County|GA|11070|11533|22603
Butts County|GA|16546|6469|23015
Calhoun County|GA|2326|4105|6431
Camden County|GA|37557|9799|47356
Candler County|GA|7253|2683|9936
Carroll County|GA|83579|20089|103668
Catoosa County|GA|59845|1392|61237
Charlton County|GA|8352|3464|11816
Chatham County|GA|140010|106392|246402
Chattahoochee County|GA|7753|2123|9876
Chattooga County|GA|21828|2899|24727
Cherokee County|GA|185536|12117|197653
Clarke County|GA|72238|30988|103226
Clay County|GA|1197|1923|3120
Clayton County|GA|48960|171480|220440
Clinch County|GA|4581|1886|6467
Cobb County|GA|428023|171774|599797
Coffee County|GA|27386|11283|38669
Colquitt County|GA|29441|10210|39651
Columbia County|GA|94867|18439|113306
Cook County|GA|11525|4704|16229
Coweta County|GA|96594|22029|118623
Crawford County|GA|9428|2818|12246
Crisp County|GA|12487|10079|22566
Dade County|GA|15973|145|16118
Dawson County|GA|21351|105|21456
Decatur County|GA|15096|11438|26534
DeKalb County|GA|230156|375725|605881
Dodge County|GA|14549|6504|21053
Dooly County|GA|6810|7442|14252
Dougherty County|GA|27986|63470|91456
